The Commonwealth of Massachusetts,,,,,,,,,,,,,,,,,,,
Executive Office of Health and Human Services,,,,,,,,,,,,,,,,,,,
Department of Public Health,,,,,,,,,,,,,,,,,,,
Division of Health Care Facility Licensure and Certification,,,,,,,,,,,,,,,,,,,
"67 Forest Street, Marlborough, MA 01752",,,,,,,,,,,,,,,,,,,
617-753-8000,,,,,,,,,,,,,,,,,,,
"November 14, 2023",,,,,,,,,,,,,,,,,,,
Massachusetts Licensed Clinics and Services Provided,,,,,,,,,,,,,,,,,,,
"^Facility licensed under a parent facility, call DPH at 617-753-8000 for more information on services provided",,,,,,,,,,,,,,,,,,,
~This clinic is in a non-licensed category and additional information is not provided by DPH.,,,,,,,,,,,,,,,,,,,
* Further information on the services provided by these facilities is forthcoming and will be updated regularly.,,,,,Services Provided,,,,,,,,,,,,,,
Clinic Name,Street,City/Town,Zip Code,Telephone,Lithotripsy,Physical Rehab,Surgical,Alcohol/      Substance Use Disorder,Mental Health,Dental ,Medical,Mobile Medical,Pharmacy,Birth Ctr,Mobile Medical MRI,Mobile Medical Lithotripsy,Radiation,Radiology (MRI),Limited Service
BROCKTON NEIGHBRHD HC@ MAINSPRING,54 NORTH MAIN STREET,BROCKTON,02301,(508)559-6699,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BROOK RECOVERY CENTERS INC,"673 BEDFORD STREET, UNIT 2",ABINGTON,02351,(781)708-6479,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BROOKLINE COMMUNITY MENTAL HLTH CTR,43 GARRISON ROAD,BROOKLINE,02445,(617)277-8107,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BU PT CTR @ RYAN CTR SPRTS MED & RE,"915 COMMONWEALTH AVENUE, REAR",BOSTON,02215,(617)353-8383,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
CAPE BEHAVIORAL HEALTH - FALMOUTH^,340 GIFFORD STREET,FALMOUTH,02540,(508)663-3809,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAPE COD HAND & UPPER EXTREMITY THR,"620 PALMER AVENUE, UNIT #2",FALMOUTH,02540,(508)771-1294,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
CAPE COD HAND & UPPER EXTREMITY THR,"68 CENTER STREET, SUITE 20",BARNSTABLE,02601,(508)540-5559,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
CAPE COD HUMAN SERVICES,525 LONG POND DRIVE SUITE L200,HARWICH,02645,(508)775-1859,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CAPE COD HUMAN SERVICES INC,460 WEST MAIN STREET,HYANNIS,02601,(508)775-1859,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CAPE COD PET-CT SERVICES LLC,525 LONG POND DRIVE,HARWICH,02645,(413)374-6325,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAPE TMS,"178 TEATICKET HIGHWAY, UNIT 4",FALMOUTH,02536,(508)679-1200,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
CARE NET PREGNANCY RESOURCE CTR NOR,"515 MAIN STREET, SUITE 1000",FITCHBURG,01420,(978)342-4244,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URG CARE/CAMB CONCORD AVE,601 CONCORD AVENUE,CAMBRIDGE,02138,(617)302-4194,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CARE,345 MAIN STREET,TEWKSBURY,01876,(617)302-1494,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CARE - GREENWOOD,348 GREENWOOD STREET,WORCESTER,01607,(617)302-4194,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CARE - LINCOLN ST,500C LINCOLN STREET,WORCESTER,01605,(978)851-4683,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CARE - NORTHBOROUGH,"333 SW CUTOFF, UNIT 202",NORTHBOROUGH,01532,(508)466-8677,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CARE CTR-FITCHBURG,380 JOHN FITCH HIGHWAY,FITCHBURG,01420,(978)851-4683,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CARE/CAMBRIDGE,1400 CAMBRIDGE STREET,CAMBRIDGE,02139,(617)714-4534,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CARE/FRAMINGHAM,50 WORCESTER ROAD UNIT 3,FRAMINGHAM,01702,(508)861-7375,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
CAREWELL URGENT CARE/PEABODY,229 ANDOVER STREET,PEABODY,01960,(978)826-5950,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CAREWELL URGENT CRE CTR-MARLBOROUGH,757 BOSTON POST ROAD E,MARLBOROUGH,01752,(617)302-4194,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CARING FOR KIDS,326 NICHOLS ROAD,FITCHBURG,01420,(978)878-8110,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
CARING HEALTH CENTER,473 SUMNER AVENUE,SPRINGFIELD,01103,(413)739-1100,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CARING HEALTH CENTER INC,1040 MAIN STREET,SPRINGFIELD,01103,(413)739-1100,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CARING HEALTH CENTER INC,1049 MAIN STREET,SPRINGFIELD,01103,(413)739-1100,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
CARING HEALTH CENTER INC,532-536 SUMNER AVE,SPRINGFIELD,01108,(413)739-1100,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
CARING HEALTH CENTER INC,860 BOSTON ROAD,SPRINGFIELD,01119,(413)739-1100,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CARLETON WILLARD VILLAGE OPT,100 OLD BILLERICA ROAD,BEDFORD,01730,(781)275-8700,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CCA PRIMARY CARE,30 NORTHAMPTON STREET,BOSTON,02118,(617)426-0600,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
CCA PRIMARY CARE,"3550 MAIN STREET, SUITE 101",SPRINGFIELD,01107,(617)433-9601,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
CCBC BROCKTON MOBILE CRISIS INTERVENTION^,20 MEADOWBROOK ROAD,BROCKTON,02301,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEDAR STREET FAMILY CLINIC,340 MAIN STREET SUITE 869,WORCESTER,01608,(508)926-0070,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CENTER FOR BEHAVIORAL HEALTH AND ADDICTION TRTMNT,"110 HAVERHILL RD, BLDG A&B 206&403",AMESBURY,01913,(978)462-0787,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
"CENTER FOR EATING DISORDERS MANAGEMENT, INC^","40 SHATTUCK ROAD, SUITE 250",NORTH ANDOVER,01845,(603)472-2846,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CENTER FOR EFFECTIVE CHILD THERAPY,53 PARKER HILL AVENUE,BOSTON,02120,(617)278-4288,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CENTER FOR FAMILY DEVELOPMENT,81 BRIDGE STREET SUITE 215,LOWELL,01852,(978)459-2306,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CENTRAL MASS CLINICAL ASSOCIATES,12 MALLARD CIRCLE,SHREWSBURY,01545,(508)901-9930,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CHARLES RIVER COMMUNITY HEALTH,30 ATHOL STREET,ALLSTON,02134,(617)783-0500,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
CHARLES RIVER COMMUNITY HEALTH,495 WESTERN AVENUE,BRIGHTON,02135,(617)783-0500,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
CHARLES RIVER COMMUNITY HEALTH~,43 FOUNDRY AVENUE,WALTHAM,02453,(781)693-3800,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
CHARLES RIVER COUNSELING CENTER,"687 HIGHLAND AVENUE, 2ND FLOOR",NEEDHAM,02494,(781)527-4610,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHD - CBHC,1109 GRANBY ROAD,CHICOPEE,01020,(413)737-1426,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CHD OCCUPATIONA THERAPY CLINIC,342 BIRNIE AVENUE,SPRINGFIELD,01107,(413)439-2160,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVC,"1221 MAIN STREET, SUITE 309",HOLYOKE,01040,(413)727-1426,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVS,"102 MAIN STREET, FIRST FLOOR",GREENFIELD,01301,(413)774-6252,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVS,"131 WEST MAIN STREET, FIRST FLOOR",ORANGE,01364,(978)544-2148,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVS,"179 NORTHAMPTON STREET, UNIT D",EASTHAMPTON,01027,(413)529-1764,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVS,246 PARK STREET,WEST SPRINGFIELD,01089,(413)737-4718,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVS,367 PINE STREET,SPRINGFIELD,01001,(413)737-1426,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVS,494 APPLETON STREET,HOLYOKE,01040,(413)737-1426,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CHD OUTPATIENT BEHAVIORAL HLTH SRVS,"622 STATE STREET, FIRST FLOOR",SPRINGFIELD,01109,(413)732-3422,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHELSEA COUNSELING CENTER,301 BROADWAY,CHELSEA,02150,(617)889-4860,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHELSEA SCH DENTAL CTR@ WILLIAM SCH,180 WALNUT STREET,CHELSEA,02150,(617)889-2864,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
CHICOPEE HEALTH CENTER,505 FRONT STREET,CHICOPEE,01013,(413)420-2200,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
CHILD & FAMILY COUNSELING CENTER,780 AMERICAN LEGION HIGHWAY-1ST FL,ROSLINDALE,02131,(617)325-6700,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"CHILD & FAMILY SERVICES, INC.",965 CHURCH STREET,NEW BEDFORD,02745,(508)996-8572,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHILD & FAMILY SVCS OF CAPE COD,100 INDEPENDENCE DRIVE,HYANNIS,02601,(508)996-8572,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHILD & FAMILY SVCS OF FALL RIVER,160 OSBORN STREET,FALL RIVER,02724,(508)676-5708,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHILDRENS CHARTER,77 RUMFORD AVENUE,WALTHAM,02154,(781)894-4307,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHILDRENS CLINIC (THE),78 POMEROY TERRACE,NORTHAMPTON,01060,(413)584-1310,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHILDRENS CLINIC THE,17 BREWSTER COURT 2/F & 3/F,NORTHAMPTON,01060,(413)584-1310,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CHILDREN'S SRVCS OF ROXBURY BHVL HC,520 DUDLEY STREET   ROXBURY,BOSTON,02119,(617)445-6655,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CHIP^,444 STOCKBRIDGE ROAD,GREAT BARRINGTON,01230,(413)528-9311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHP ADAMS INTERNIST,19 DEPOT STREET,ADAMS,01220,(413)528-9311,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CHP BARRINGTON OB/GYN,"27 LEWIS AVENUE, MOB, GROUND FLOOR",GREAT BARRINGTON,01230,(413)528-9311,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CHP BERKSHIRE PEDIATRICS,"777 NORTH STREET, SUITE 305",PITTSFIELD,01201,(413)528-9311,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CHP DENTAL CENTER,343 MAIN STREET SUITE 101,GREAT BARRINGTON,01230,(413)528-9311,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
CHP HEALTH CENTER,444 STOCKBRIDGE ROAD,GREAT BARRINGTON,01230,(413)528-8580,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CHP NEIGHBORHOOD HEALTH & DENTAL CT,510 NORTH STREET FIRST FLOOR,PITTSFIELD,01201,(413)447-2023,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
CHP NORTH ADAMS FAMILY MEDICAL & DENTAL,71 HOSPITAL DRIVE 3RD FL NORTH WING,NORTH ADAMS,01247,(413)528-9311,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
CIRCLE HEALTH URGENT CARE - DRACUT,9 LOON HILL ROAD,DRACUT,01850,(978)323-2850,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CIRCLE HEALTH URGENT CARE - TEWKSBURY,1574 MAIN STREET,TEWKSBURY,01876,(978)937-6000,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CIRCLE HEALTH URGENT CARE-BILLERICA,199 BOSTON ROAD,BILLERICA,01862,(978)323-2850,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CITIZENS FOR CITIZENS FAM PLAN CLIN^,300 HANOVER STREET STE 2E,FALL RIVER,02720,(508)675-2882,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CITIZENS FOR CITIZENS INC FAMILY PL^,1 SCHOOL STREET,TAUNTON,02780,(508)823-6924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CITY CLINIC,235 MAPLE STREET,HOLYOKE,01040,(413)747-0707,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CITY CLINIC HOLYOKE HEALTH CENTER,230 MAPLE STREET SUITE H350,HOLYOKE,01040,(413)532-0389,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CLARITY OF MIND MENTAL HEALTH INC^,500 N. MAIN ST SUITE A,RANDOLPH,02368,(617)302-2159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLEARBROOK TREATMENT CENTER MASSACHUSETTS,83 HOSPITAL ROAD,baldwinvile,01436,(978)894-2161,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CLEARVIEW COUNSELING GROUP INC,"191 CHESTNUT STREET, 2C",SPRINGFIELD,01103,(413)237-9010,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"CLEARVIEW COUNSELING GROUP, INC^","175 DWIGHT ROAD, SUITE 201B",LONGMEADOW,01106,(413)237-9010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLEARWAY CLINIC,"1259 E. COLUMBUS AVENUE, SUITE 102",SPRINGFIELD,01105,(413)351-0071,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CLEARWAY CLINIC,358 SHREWSBURY STREET,WORCESTER,01604,(508)438-0144,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CLINICAL & SUPPORT OPTIONS ATHOL,"2033 MAIN STREET, LEVEL 2",ATHOL,01331,(978)249-9490,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CLINICAL & SUPPORT OPTIONS CLINIC,1 ARCH PLACE 1ST FLOOR,GREENFIELD,01301,(413)774-1000,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CLINICAL & SUPPORT OPTIONS GARDNER,205 SCHOOL STREET SUITE 301,GARDNER,01440,(978)632-9400,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CLINICAL AND SUPPORT OPTIONS NORTHAMPTON,"8 ATWOOD DR, 1FL ST101 & 2FL ST 201",NORTHAMPTON,01060,(413)737-9544,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CLINICAL AND SUPPORT OPTIONS PITTSFIELD,877 SOUTH STREET 2ND FLOOR,PITTSFIELD,01201,(413)236-5656,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CLINICAL AND SUPPORT OPTIONS SPRINGFIELD,"1 FEDERAL STREET, BLDG 102, FL 3",SPRINGFIELD,01105,(413)737-9544,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COLLINS MIDDLE SCHOOL,"29 HIGHLAND AVENUE, RM 327",SALEM,01970,(978)740-1193,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMM HEALTHLINK LIPTON COUNS CENTER,100-110 ERDMAN WAY,LEOMINSTER,01453,(978)534-6116,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMM HEALTHLINK LIPTON COUNS CENTER,275 NICHOLS ROAD,FITCHBURG,01420,(978)534-6116,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMM HEALTHLINK LIPTON COUNS CENTER,"40 SPRUCE STREET, 2ND & 3RD FLOOR",LEOMINSTER,01453,(978)534-6116,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
COMM HEALTHLINK YOUTH & FAMILY SRVS,335 CHANDLER STREET,WORCESTER,01602,(508)791-3261,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
COMM HLTH CTR OF CAPE COD-CENTERVIL,"1185B FALMOUTH ROAD, 1ST FLOOR",BARNSTABLE,02632,(508)477-7090,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
COMMONWEALTH ENDOSCOPY CENTER,120 WEST CENTER STREET,WEST BRIDGEWATER,02379,(508)586-8700,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
COMMONWEALTH M.H. & WELLNESS CENTER,895 BLUE HILL AVENUE,DORCHESTER,02124,(617)506-8188,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMMONWEALTH MH & WELLNESS CTR-LYNN^,36 WASHINGTON STREET,LYNN,01904,(617)506-8188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMMUNITY CARE AND COUNSELING SERVICES,"100 CONCORD STREET, SUITE 2B",FRAMINGHAM,01702,(508)817-5041,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMMUNITY CARE IN REACH^,63 MAIN STREET,BROCKTON,02301,(617)645-8629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMMUNITY CARING CLINIC LLC,"55 STATE STREET, 2ND FLOOR, STE 201",SPRINGFIELD,01103,(627)541-1829,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMMUNITY CARING CLINIC LLC,55 WARREN STREET,ROXBURY,02119,(857)334-9277,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMMUNITY COUNS OF BRISTOL COUNTY,19 CEDAR STREET,TAUNTON,02780,(508)828-9116,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"COMMUNITY COUNS OF BRISTOL COUNTY,",MILL RIVER PLACE 1 WASHINGTON ST,TAUNTON,02780,(508)252-3383,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
COMMUNITY COUNSELING OF BRISTOL CO,5 BANK STREET SUITE 206,ATTLEBORO,02703,(508)823-6124,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMMUNITY DENTAL SRV @ HLOKE SOL HM,110 CHERRY STREET,HOLYOKE,01040,(413)420-2214,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
COMMUNITY DENTAL SRV @ WES MASS HOS,91 EAST MOUNTAIN ROAD,WESTFIELD,01085,(413)420-2200,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
COMMUNITY HEALTH CENTER OF CAPE COD,107 COMMERCIAL STREET,MASHPEE,02649,(508)540-7075,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
COMMUNITY HEALTH CENTER OF CAPE COD - SANDWICH,90 ROUTE 6A,SANDWICH,02563,(508)477-7090,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
COMMUNITY HEALTH CENTER OF CAPE COD - WOMEN'S HEALTH CENTER^,26 EDGERTON DRIVE,FALMOUTH,02556,(508)477-7090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMMUNITY HEALTH CENTER OF FRANKLIN COUNTY*,"119 NEW ATHOL RD, STE 102 & 200, MB",ORANGE,01364,(413)325-8500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMMUNITY HEALTH CONNECTIONS FAM HL,326 NICHOLS ROAD,FITCHBURG,01420,(978)665-5901,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
COMMUNITY HEALTH CTR OF CAPE COD-BO,123 WATERHOUSE ROAD,BOURNE,02532,(508)471-7090,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
COMMUNITY HEALTH CTR OF CAPE COD-FA,210 JONES ROAD SECOND FLOOR #22,FALMOUTH,02540,(508)540-2949,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
COMMUNITY HEALTH CTR OF FRANKLIN CT,"102 MAIN STREET, BASEMENT 1ST&2ND F",GREENFIELD,01301,(413)772-3748,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
COMMUNITY HEALTHLINK,"12 QUEEN ST, 1ST FL & LOWER LEVEL",WORCESTER,01610,(508)756-4354,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
COMMUNITY HEALTHLINK,162 CHANDLER STREET,WORCESTER,01609,(508)860-1080,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
COMMUNITY HEALTHLINK,"72 JAQUES AVENUE, 1ST FLOOR",WORCESTER,01610,(508)421-4411,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
COMMUNITY HLTH CTR OF FRANKLIN CNTY,164 HIGH STREET,GREENFIELD,01301,(413)774-2615,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
COMMUNITY REHAB CARE INC,51 WATER STREET,WATERTOWN,02472,(781)244-8480,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
COMMUNITY SVCS INSTITUTE,"1100 WASHINGTON STREET, STE 206",DORCHESTER,02124,(617)789-4212,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMMUNITY SVCS INSTITUTE,"1695 MAIN STREET, SUITE 300 & 400",SPRINGFIELD,01103,(413)789-4212,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COMPREHENSIVE RECOVERY SERVICES,"300 CONGRESS STREET, SUITE 405",QUINCY,02169,(774)281-0676,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE,245 HARTFORD  AVENUE,BELLINGHAM,02021,(774)295-4355,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE,40 DAVIS STRAITS,FALMOUTH,02540,(603)319-4490,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE,987 MAIN STREET,WEYMOUTH,02190,(603)319-4490,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE - BURLINGTON,181 CAMBRIDGE STREET,BURLINGTON,01803,(339)234-6998,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE - DEDHAM,983 PROVIDENCE HIGHWAY,DEDHAM,02026,(781)819-6400,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE - FRAMINGHAM^,236 COCHITUATE ROAD,FRAMINGHAM,01701,(774)244-3227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CONVENIENTMD URGENT CARE - PEABODY,210 ANDOVER STREET,PEABODY,01960,(978)620-5048,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE - PEMBROKE^,296 OLD OAK STREET,PEMBROKE,02359,(339)244-3033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CONVENIENTMD URGENT CARE LUDLOW,471 CENTER STREET,LUDLOW,01056,(413)625-3500,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE WESTBOROUGH,139 TURNPIKE ROAD,WESTBOROUGH,01581,(508)882-7300,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE-N. ANDOVER,419B ANDOVER STREET,NORTH ANDOVER,01845,(978)620-5048,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE-NEWBURYPOR,29-35 STOREY AVENUE,NEWBURYPORT,01950,(978)225-6607,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE-PLAINVILLE,86 TAUNTON STREET,PLAINVILLE,02762,(508)928-5211,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE-QUINCY,479 WASHINGTON STREET,QUINCY,02169,(857)529-5220,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVENIENTMD URGENT CARE-SAUGUS,156 MAIN STREET,SAUGUS,01906,(339)674-0978,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
CONVIENIENT MD URGENT CARE LEOMINSTER,"20 COMMERICAL ROAD, SUITE 2",LEOMINSTER,01453,(978)798-6896,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
COOLEY DICKINSON URGENT CARE AT SOUTHAMPTON,12 COLLEGE HIGHWAY,SOUTHAMPTON,01073,(413)527-0357,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
COOLIDGE CORNER IMAGING,356 HARVARD STREET,BROOKLINE,02446,(617)383-6585,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
COUNSELING & ASSESSMENT CLINIC WORC,"33 ELECTRIC AVENUE, SUITE 204",FITCHBURG,01420,(978)696-3035,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
